GFMD initialization...
Number of processors used    : 1
Total number of GF atoms     : 1152
Extra load added to GF atoms : -0.01

Original positions of GF atoms determined from initial configuraiton!

Mapping info computed from initial configuration.
Total # of atoms in manifold : 1152
Surface vector along U       : [ 4.42745, 0 ]
Surface vector along V       : [ 0, 2.55619 ]
# of atoms per unit cell     : 2
Dimensions of the FFT mesh   : 18 x 32

Manifold to FFT mesh mapping information:
# nx ny nucell
 18 32 2
# ix iy iu atom_id
16 13 1 1102
16 14 0 527
16 14 1 1103
16 15 0 528
16 15 1 1104
16 16 0 529
16 16 1 1105
16 17 0 530
16 17 1 1106
16 18 0 531
16 18 1 1107
16 19 0 532
16 19 1 1108
16 20 0 533
16 20 1 1109
16 21 0 534
16 21 1 1110
16 22 0 535
16 22 1 1111
16 23 0 536
16 23 1 1112
16 24 0 537
16 24 1 1113
16 25 0 538
16 25 1 1114
16 26 0 539
16 26 1 1115
16 27 0 540
16 27 1 1116
16 28 0 541
16 28 1 1117
16 29 0 542
16 29 1 1118
16 30 0 543
16 30 1 1119
16 31 0 544
16 31 1 1120
17 0 0 545
17 0 1 1121
17 1 0 546
17 1 1 1122
17 2 0 547
17 2 1 1123
17 3 0 548
17 3 1 1124
17 4 0 549
17 4 1 1125
17 5 0 550
17 5 1 1126
17 6 0 551
17 6 1 1127
17 7 0 552
17 7 1 1128
17 8 0 553
17 8 1 1129
17 9 0 554
17 9 1 1130
17 10 0 555
17 10 1 1131
17 11 0 556
17 11 1 1132
17 12 0 557
17 12 1 1133
17 13 0 558
17 13 1 1134
17 14 0 559
17 14 1 1135
17 15 0 560
17 15 1 1136
17 16 0 561
17 16 1 1137
17 17 0 562
17 17 1 1138
17 18 0 563
17 18 1 1139
17 19 0 564
17 19 1 1140
17 20 0 565
17 20 1 1141
17 21 0 566
17 21 1 1142
17 22 0 567
17 22 1 1143
17 23 0 568
17 23 1 1144
17 24 0 569
17 24 1 1145
17 25 0 570
17 25 1 1146
17 26 0 571
17 26 1 1147
17 27 0 572
17 27 1 1148
17 28 0 573
17 28 1 1149
17 29 0 574
17 29 1 1150
17 30 0 575
17 30 1 1151
17 31 0 576
17 31 1 1152

GFMD FFTW assignment:
  On proc 0 mynx = 18;

To read  Phi_q info from file: GFC.bin
FFT mesh from GFC measurement: 9 x 16
FFT mesh from the current run: 18 x 32

Eigenvalues of Phi(q0) from original gfc: 0.0227441 0.049326 0.300396 3.24211 3.5231 10.5991
Eigenvalues after rescaling original Phi: 2.27368e-12 4.93255e-12 3.00391e-11 3.24211 3.5231 10.5991

Phi_q interpolated from file: GFC.bin

Surface vector from this run: [4.42745 0], [0 2.55619]
Surface vector from gfc  run: [4.42745 0], [0 2.55619]
Surface basis  from this run: 0 0 0 2.21373 1.2781 0 
Surface basis  from gfc  run: 0 0 0 2.21373 1.2781 2.65036e-06 

Original/equilibrium position of atoms in the manifold
# idx atom x  y  z
0 1 0 0 0
1 577 2.21373 1.2781 0
2 2 0 2.55619 0
3 578 2.21373 3.83429 0
4 3 0 5.11238 0
5 579 2.21373 6.39048 0
6 4 0 7.66857 0
7 580 2.21373 8.94667 0
8 5 0 10.2248 0
9 581 2.21373 11.5029 0
10 6 0 12.781 0
11 582 2.21373 14.0591 0
12 7 0 15.3371 0
13 583 2.21373 16.6152 0
14 8 0 17.8933 0
15 584 2.21373 19.1714 0
16 9 0 20.4495 0
17 585 2.21373 21.7276 0
18 10 0 23.0057 0
19 586 2.21373 24.2838 0
20 11 0 25.5619 0
21 587 2.21373 26.84 0
22 12 0 28.1181 0
23 588 2.21373 29.3962 0
24 13 0 30.6743 0
25 589 2.21373 31.9524 0
26 14 0 33.2305 0
27 590 2.21373 34.5086 0
28 15 0 35.7867 0
29 591 2.21373 37.0648 0
30 16 0 38.3429 0
31 592 2.21373 39.621 0
32 17 0 40.8991 0
33 593 2.21373 42.1772 0
34 18 0 43.4552 0
35 594 2.21373 44.7333 0
36 19 0 46.0114 0
37 595 2.21373 47.2895 0
38 20 0 48.5676 0
