############################################################
# group name of the Green's Function layer : bottom
# total number of atoms in the GF layer    : 288
# dimension of the system                  : 3 D
# number of atoms per unit surface cell    : 2
# dimension of the FFT mesh                : 9 x 16
# atomic tag of the surface origin         : 5473
# number of wait steps before measurement  : 5000000
# frequency of GFC measurement             : 20
# output result after this many measurement: 250000
# number of processors used by this run    : 4
############################################################
# Surface vectors: [ 4.42745, 0 ] [ 0, 2.55619 ]
# mapping information between FFT mesh and atom id
# nx ny nucell
9 16 2
# ix iy iu atom_id
0 10 0 -2.35619 5.68383 1.77836e-19 0.0358857 0.128693 0.227099 -0.000584327 -0.759348 -1.85106 0.313545 -0.0619037 0.0463162 0.101842 0.0358857 -0.128693 7.93994 6.51304e-19 0.00337998 -0.0227817 -0.26715 0.0922025 -0.236906 -0.461964 0.0332497 -0.0145898 0.227099 0.000584327 0.00337998 0.0227817 2.895 4.07522e-19 0.0550749 0.109547 -0.0502312 0.0135892 -0.112705 -0.278596 -0.759348 1.85106 -0.26715 -0.0922025 0.0550749 -0.109547 5.67614 1.13043e-18 -0.0723728 0.158506 0.206992 0.0069725 0.313545 0.0619037 -0.236906 0.461964 -0.0502312 -0.0135892 -0.0723728 -0.158506 7.95052 3.06096e-19 0.00701841 -0.0268721 0.0463162 -0.101842 0.0332497 0.0145898 -0.112705 0.278596 0.206992 -0.0069725 0.00701841 0.0268721 2.87739 2.32277e-19
0 11 0 -1.9635 5.43077 -1.34556e-16 0.0118483 0.114806 0.125748 -0.0068899 -1.55063 -2.32106 0.166933 -0.100963 0.0909232 0.144245 0.0118483 -0.114806 6.76994 -9.90807e-22 -0.00474169 -0.0506562 -0.177481 0.0977946 -0.363784 -0.611064 0.0463671 -0.0325391 0.125748 0.0068899 -0.00474169 0.0506562 2.69632 7.9555e-18 0.0833046 0.141521 -0.0354893 0.0268752 -0.313367 -0.463623 -1.55063 2.32106 -0.177481 -0.0977946 0.0833046 -0.141521 5.43368 4.04028e-18 -0.0127974 0.101337 0.117987 0.008094 0.166933 0.100963 -0.363784 0.611064 -0.0354893 -0.0268752 -0.0127974 -0.101337 6.76366 -4.77425e-18 0.00682374 -0.0690496 0.0909232 -0.144245 0.0463671 0.0325391 -0.313367 0.463623 0.117987 -0.008094 0.00682374 0.0690496 2.71877 9.92498e-18
0 12 0 -1.5708 5.49164 -8.13064e-21 0.00344382 0.142139 0.0198552 -0.00204473 -2.5742 -2.57049 0.123848 -0.123794 0.144316 0.141694 0.00344382 -0.142139 5.65376 2.87467e-19 0.00295133 -0.0832872 -0.117793 0.109707 -0.716163 -0.693574 0.0353135 -0.04665 0.0198552 0.00204473 0.00295133 0.0832872 2.46972 1.14065e-20 0.144452 0.136157 -0.0442376 0.0358174 -0.482747 -0.490836 -2.5742 2.57049 -0.117793 -0.109707 0.144452 -0.136157 5.4855 -1.6739e-18 -0.00294115 0.15556 0.0238127 0.000207506 0.123848 0.123794 -0.716163 0.693574 -0.0442376 -0.0358174 -0.00294115 -0.15556 5.60567 3.56394e-20 -0.0019333 -0.070733 0.144316 -0.141694 0.0353135 0.04665 -0.482747 0.490836 0.0238127 -0.000207506 -0.0019333 0.070733 2.46653 7.46606e-19
0 13 0 -1.1781 5.43389 2.07334e-17 0.00140154 0.163997 -0.0394814 -0.00448074 -3.47322 -2.32599 0.0834945 -0.128273 0.195179 0.126173 0.00140154 -0.163997 4.27053 4.81226e-19 0.0228841 -0.0587515 -0.100064 0.143397 -1.04679 -0.700548 0.0328087 -0.0785574 -0.0394814 0.00448074 0.0228841 0.0587515 2.28342 -1.95474e-18 0.199876 0.127092 -0.0479037 0.0964507 -0.787254 -0.52821 -3.47322 2.32599 -0.100064 -0.143397 0.199876 -0.127092 5.43475 2.6983e-16 -0.000293958 0.150611 -0.034363 -0.000448731 0.0834945 0.128273 -1.04679 0.700548 -0.0479037 -0.0964507 -0.000293958 -0.150611 4.29361 -2.6069e-17 -0.0224977 -0.0454404 0.195179 -0.126173 0.0328087 0.0785574 -0.787254 0.52821 -0.034363 0.000448731 -0.0224977 0.0454404 2.27297 -6.63649e-19
0 14 0 -0.785398 5.5743 5.38386e-19 -0.00178894 0.114636 -0.107213 0.00411213 -4.50754 -1.86664 0.0390461 -0.0875423 0.215436 0.087234 -0.00178894 -0.114636 3.05531 3.44789e-17 -0.000967109 -0.0504624 -0.0310919 0.0878285 -1.34313 -0.559873 0.0308705 -0.0781394 -0.107213 -0.00411213 -0.000967109 0.0504624 2.06026 -1.8914e-18 0.21412 0.0896256 -0.0406554 0.0712335 -1.12105 -0.465237 -4.50754 1.86664 -0.0310919 -0.0878285 0.21412 -0.0896256 5.57598 -3.53772e-18 -6.51793e-05 0.118913 -0.105637 -0.000580677 0.0390461 0.0875423 -1.34313 0.559873 -0.0406554 -0.0712335 -6.51793e-05 -0.118913 3.05904 -5.30711e-17 0.0106826 -0.0484875 0.215436 -0.087234 0.0308705 0.0781394 -1.12105 0.465237 -0.105637 0.000580677 0.0106826 0.0484875 2.06074 -4.88088e-17
0 15 0 -0.392699 5.39414 -1.31839e-15 0.00229142 0.0777881 -0.197163 -0.00170839 -5.02217 -0.998102 0.00827703 -0.0450272 0.240827 0.0507451 0.00229142 -0.0777881 2.21902 -5.53404e-17 0.000526666 -0.0320949 -0.0108948 0.0454536 -1.56761 -0.311963 0.00983698 -0.0603394 -0.197163 0.00170839 0.000526666 0.0320949 1.78584 8.71198e-19 0.243056 0.0453419 -0.0125265 0.0618757 -1.32815 -0.264311 -5.02217 0.998102 -0.0108948 -0.0454536 0.243056 -0.0453419 5.39412 -1.22372e-15 0.00112153 0.0777997 -0.196936 -0.00432648 0.00827703 0.0450272 -1.56761 0.311963 -0.0125265 -0.0618757 0.00112153 -0.0777997 2.2165 -3.40177e-17 0.00308224 -0.0306086 0.240827 -0.0507451 0.00983698 0.0603394 -1.32815 0.264311 -0.196936 0.00432648 0.00308224 0.0306086 1.787 -3.01961e-18
1 0 0.698132 0 5.46375 1.38155e-15 -0.00191954 -0.00313654 -0.227766 0.0408379 -4.55015 1.65481 0.00260535 0.00324787 0.205678 -0.0112729 -0.00191954 0.00313654 1.87013 -3.17116e-16 -0.00588302 -0.00337431 0.000188344 -0.00325688 -1.50508 0.548203 0.00668195 0.00127667 -0.227766 -0.0408379 -0.00588302 0.00337431 1.76445 8.09562e-17 0.168928 -0.124591 0.00353904 -0.00570615 -1.25355 0.457149 -4.55015 -1.65481 0.000188344 0.00325688 0.168928 0.124591 5.46542 1.08934e-15 -0.00218574 -0.00272377 -0.233321 0.0388631 0.00260535 -0.00324787 -1.50508 -0.548203 0.00353904 0.00570615 -0.00218574 0.00272377 1.86996 -2.03906e-16 -0.00593728 -0.00198414 0.205678 0.0112729 0.00668195 -0.00127667 -1.25355 -0.457149 -0.233321 -0.0388631 -0.00593728 0.00198414 1.76717 1.55395e-16
1 1 0.698132 0.392699 5.37532 1.09518e-15 0.0461885 -0.0358411 -0.196095 0.0220318 -3.99565 2.42515 0.235345 -0.0662522 0.187284 -0.0505805 0.0461885 0.0358411 2.24632 -6.319e-17 0.0135588 0.028733 0.165618 -0.177763 -1.31525 0.797398 0.0708553 0.0236901 -0.196095 -0.0220318 0.0135588 -0.028733 1.91314 -6.20512e-17 0.136435 -0.145574 0.0164884 -0.0740139 -1.09924 0.663859 -3.99565 -2.42515 0.165618 0.177763 0.136435 0.145574 5.37577 1.33356e-15 0.0465153 -0.0338394 -0.197692 0.027539 0.235345 0.0662522 -1.31525 -0.797398 0.0164884 0.0740139 0.0465153 0.0338394 2.25038 -2.19983e-16 0.012966 0.0328572 0.187284 0.0505805 0.0708553 -0.0236901 -1.09924 -0.663859 -0.197692 -0.027539 0.012966 -0.0328572 1.91917 -7.55179e-17
1 2 0.698132 0.785398 5.5494 1.3652e-15 0.0498107 -0.100845 -0.151771 0.0336437 -3.34079 3.06493 0.401858 -0.237512 0.182672 -0.101355 0.0498107 0.100845 3.09385 1.59302e-18 0.0196596 0.0669748 0.276466 -0.374643 -1.00905 0.930622 0.0963428 0.0236136 -0.151771 -0.0336437 0.0196596 -0.0669748 2.12178 1.52639e-18 0.122552 -0.185168 -0.00908693 -0.111527 -0.793357 0.727456 -3.34079 -3.06493 0.276466 0.374643 0.122552 0.185168 5.54699 1.09611e-15 0.0467768 -0.0995058 -0.157221 0.0274769 0.401858 0.237512 -1.00905 -0.930622 -0.00908693 0.111527 0.0467768 0.0995058 3.0906 -3.53179e-17 0.00450952 0.0494194 0.182672 0.101355 0.0963428 -0.0236136 -0.793357 -0.727456 -0.157221 -0.0274769 0.00450952 -0.0494194 2.10708 1.3273e-18
1 3 0.698132 1.1781 5.41451 -1.97898e-17 0.0878861 -0.126843 -0.0583824 0.0289877 -2.33621 3.18708 0.456646 -0.437114 0.140953 -0.127975 0.0878861 0.126843 4.29918 1.00067e-18 0.00407097 0.0831943 0.275187 -0.569967 -0.704589 0.952533 0.113343 -0.0284175 -0.0583824 -0.0289877 0.00407097 -0.0831943 2.36993 -1.16139e-19 0.0751112 -0.18131 -0.0231572 -0.115788 -0.550494 0.750703 -2.33621 -3.18708 0.275187 0.569967 0.0751112 0.18131 5.41008 9.02912e-18 0.0796267 -0.126619 -0.0531455 0.0316944 0.456646 0.437114 -0.704589 -0.952533 -0.0231572 0.115788 0.0796267 0.126619 4.27705 -2.2568e-17 0.00189559 0.0758337 0.140953 0.127975 0.113343 0.0284175 -0.550494 -0.750703 -0.0531455 -0.0316944 0.00189559 -0.0758337 2.36265 1.49321e-19
